#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AANAT	CRY1	9606.ENSP00000250615	9606.ENSP00000008527	0	0	0	0	0	0	0	0.608	0.608
AANAT	TPH1	9606.ENSP00000250615	9606.ENSP00000250018	0	0	0	0	0.109	0	0	0.651	0.675
AANAT	RORB	9606.ENSP00000250615	9606.ENSP00000366093	0	0	0	0	0	0.068	0	0.391	0.408
AANAT	HDC	9606.ENSP00000250615	9606.ENSP00000267845	0	0	0	0	0	0.046	0.163	0.347	0.433
AANAT	FOS	9606.ENSP00000250615	9606.ENSP00000306245	0	0	0	0	0.057	0.063	0	0.457	0.478
AANAT	BHLHE40	9606.ENSP00000250615	9606.ENSP00000256495	0	0	0	0	0.042	0.340	0	0.305	0.522
AANAT	CLOCK	9606.ENSP00000250615	9606.ENSP00000426983	0	0	0	0	0	0	0	0.554	0.554
AANAT	PPM1L	9606.ENSP00000250615	9606.ENSP00000417659	0	0	0	0	0	0.746	0	0	0.746
AANAT	GLYATL1	9606.ENSP00000250615	9606.ENSP00000300079	0	0	0	0	0	0	0	0.776	0.776
ABCA1	SIRT1	9606.ENSP00000363868	9606.ENSP00000212015	0	0	0	0	0.079	0.046	0	0.497	0.520
ABCA1	MPO	9606.ENSP00000363868	9606.ENSP00000225275	0	0	0	0	0	0	0	0.422	0.422
ABCA1	CCL2	9606.ENSP00000363868	9606.ENSP00000225831	0	0	0	0	0.085	0	0	0.564	0.584
ABCA1	NFKB1	9606.ENSP00000363868	9606.ENSP00000226574	0	0	0	0	0.055	0.048	0	0.399	0.412
ABCA1	SKP1	9606.ENSP00000363868	9606.ENSP00000231487	0	0	0	0	0	0	0	0.532	0.532
ABCA1	APOA1	9606.ENSP00000363868	9606.ENSP00000236850	0	0	0	0	0.055	0.697	0.900	0.999	0.999
ABCA1	LIPE	9606.ENSP00000363868	9606.ENSP00000244289	0	0	0	0	0	0	0	0.473	0.473
ABCA1	APOE	9606.ENSP00000363868	9606.ENSP00000252486	0	0	0	0	0.084	0	0	0.979	0.980
ABCA1	PXDN	9606.ENSP00000363868	9606.ENSP00000252804	0	0	0	0	0.042	0	0	0.425	0.426
ABCA1	FABP4	9606.ENSP00000363868	9606.ENSP00000256104	0	0	0	0	0.044	0	0	0.457	0.458
ABCA1	TLR2	9606.ENSP00000363868	9606.ENSP00000260010	0	0	0	0	0.088	0	0	0.399	0.428
ABCA1	SMARCD3	9606.ENSP00000363868	9606.ENSP00000262188	0	0	0	0	0	0	0.400	0.044	0.401
ABCA1	CREBBP	9606.ENSP00000363868	9606.ENSP00000262367	0	0	0	0	0.048	0.053	0.400	0.183	0.499
ABCA1	EP300	9606.ENSP00000363868	9606.ENSP00000263253	0	0	0	0	0.048	0.053	0.500	0.231	0.607
ABCA1	IL1B	9606.ENSP00000363868	9606.ENSP00000263341	0	0	0	0	0.072	0	0	0.599	0.612
ABCA1	STAT3	9606.ENSP00000363868	9606.ENSP00000264657	0	0	0	0	0.050	0	0	0.813	0.815
ABCA1	PPARGC1A	9606.ENSP00000363868	9606.ENSP00000264867	0	0	0	0	0.042	0	0	0.466	0.466
ABCA1	LIPC	9606.ENSP00000363868	9606.ENSP00000299022	0	0	0	0	0	0.074	0	0.737	0.746
ABCA1	TRIB1	9606.ENSP00000363868	9606.ENSP00000312150	0	0	0	0	0.075	0	0	0.387	0.408
ABCA1	LEP	9606.ENSP00000363868	9606.ENSP00000312652	0	0	0	0	0.049	0	0	0.644	0.646
ABCA1	CLU	9606.ENSP00000363868	9606.ENSP00000315130	0	0	0	0	0.055	0.062	0	0.451	0.471
ABCA1	MLXIPL	9606.ENSP00000363868	9606.ENSP00000320886	0	0	0	0	0	0	0	0.447	0.447
ABCA1	CFH	9606.ENSP00000363868	9606.ENSP00000356399	0	0	0	0	0.062	0	0	0.531	0.541
ABCA1	UTRN	9606.ENSP00000363868	9606.ENSP00000356515	0	0	0	0	0.045	0.510	0	0.424	0.706
ABCA1	MMP9	9606.ENSP00000363868	9606.ENSP00000361405	0	0	0	0	0.088	0	0	0.430	0.458
ABCA1	TLR4	9606.ENSP00000363868	9606.ENSP00000363089	0	0	0	0	0.124	0	0	0.545	0.584
ABCA1	CHD9	9606.ENSP00000363868	9606.ENSP00000396345	0	0	0	0	0.062	0.059	0.400	0.046	0.427
ABCA1	AK9	9606.ENSP00000363868	9606.ENSP00000410186	0	0	0	0	0	0.045	0.108	0.389	0.434
ABCA1	IGF2	9606.ENSP00000363868	9606.ENSP00000391826	0	0	0	0	0	0	0	0.499	0.499
ABCA1	ACSL1	9606.ENSP00000363868	9606.ENSP00000422607	0	0	0	0	0.098	0.094	0	0.443	0.505
ABCA1	TNRC6B	9606.ENSP00000363868	9606.ENSP00000401946	0	0	0	0	0.047	0.054	0.500	0.063	0.521
ABCA1	ACTB	9606.ENSP00000363868	9606.ENSP00000494750	0	0	0	0	0	0	0	0.551	0.551
ABCA1	SPTLC3	9606.ENSP00000363868	9606.ENSP00000381968	0	0	0	0	0.043	0.053	0	0.570	0.576
ABCA1	TNF	9606.ENSP00000363868	9606.ENSP00000398698	0	0	0	0	0.042	0	0	0.580	0.581
ABCA1	VLDLR	9606.ENSP00000363868	9606.ENSP00000371532	0	0	0	0	0	0	0	0.582	0.582
ABCA1	CD36	9606.ENSP00000363868	9606.ENSP00000415743	0	0	0	0	0.087	0	0	0.823	0.831
ABCA1	PPARA	9606.ENSP00000363868	9606.ENSP00000385523	0	0	0	0	0	0.049	0.500	0.762	0.877
ABCA1	NR1H3	9606.ENSP00000363868	9606.ENSP00000477707	0	0	0	0	0.061	0.049	0.500	0.935	0.967
